created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Aug 27 23:56:17 +0000 2023;1695948377891213373;"@Malika6027 Bahasa kren nya muka bajingan ini / monkeys faces  / dickhead haha .kirim ke IKN biar tinggal dg saudaranya orang hutan .";0;0;0;0;in;1647761274661670912;1695688572236664973;manukahoneyland;https://twitter.com/manukahoneyland/status/1695948377891213373
Sun Aug 27 23:52:57 +0000 2023;1695947542541087032;"Bangun Bandara VVIP di IKN, Kementerian PUPR Siapkan Dana Rp 2,7 Triliun  Klik untuk baca: https://t.co/MPCLnhbqse";0;1;0;16;in;1531957384213843970;1695947542541087032;yangmi3prnew;https://twitter.com/yangmi3prnew/status/1695947542541087032
Sun Aug 27 23:48:05 +0000 2023;1695946314624987205;"Peluncuran buku "The Road to Nusantara", referensi akademik pertama tentang IKN dalam Bahasa Inggris dan diterbitkan penerbit bereputasi global. Ditulis para periset dan akademisi yg berdedikasi. Naskah telah direview  oleh pakar2 yg mumpuni.  https://t.co/HpYIG5XDTv";0;0;0;1;in;917562970959339520;1695252670070886770;najib_lipi;https://twitter.com/najib_lipi/status/1695946314624987205
Sun Aug 27 23:43:37 +0000 2023;1695945190400475303;"@yaniarsim @DPR_RI @mohmahfudmd Dari proyek IKN dan KCJB dapet gede dong 😃";0;0;0;0;in;59916283;1695647709225689396;Kang_eNeS;https://twitter.com/Kang_eNeS/status/1695945190400475303
Sun Aug 27 23:39:00 +0000 2023;1695944028687040513;"Daftar Titik Panas Sekitar IKN Nusantara, Potensi Karhutla harus jadi Pertimbangan Pindah Ibu Kota  #IKN #IKNNusantara #IbuKotaNegara #IbuKotaNusantara #Kaltim #KalimantanTimur #karhutla #kebakaranhutan  https://t.co/R6dNHXFyec lewat @tribunkaltim";0;0;0;0;in;103551225;1695944028687040513;tribunkaltim;https://twitter.com/tribunkaltim/status/1695944028687040513
Sun Aug 27 23:38:35 +0000 2023;1695943923099963659;"KemenPUPR menargetkan pembangunan 47 tower rusun ASN di IKN Nusantara selesai pd akhir 2024. Pada Juli 2024 ditargetkan minimal sudah ada 12 tower rusun ASN IKN yg telah selesai terbangun, fully furnished, dan siap untuk dihuni oleh para ASN  Mantap Gus Paspampres Tidur Kebangun https://t.co/aSj7SXjyi2";1;2;14;14;in;2580861451;1695943923099963659;bamantara00;https://twitter.com/bamantara00/status/1695943923099963659
Sun Aug 27 23:34:14 +0000 2023;1695942829334564997;"@Hansunriko Nah. IKN👍👍";0;0;0;0;in;1371339082706477057;1695929524071068097;AliBej0;https://twitter.com/AliBej0/status/1695942829334564997
Sun Aug 27 23:23:21 +0000 2023;1695940089988399354;"@Yulia_NS79 IKN Nusantara👍👍";0;0;0;1;in;1371339082706477057;1695929269451694182;AliBej0;https://twitter.com/AliBej0/status/1695940089988399354
Sun Aug 27 23:17:06 +0000 2023;1695938519129272567;"@MardaniAliSera @DPR_RI @FPKSDPRRI @PKSejahtera @ikn_id Batalin aja... Apa urgensi nya IKN, keuangan negara morat marit... Ujung2nya utang lagi... Utang lagi... Siapa yg bayar...? Dungu jangan di piara...";0;0;0;0;in;893320152;1693571512488562988;edyalfendy1;https://twitter.com/edyalfendy1/status/1695938519129272567
Sun Aug 27 23:15:24 +0000 2023;1695938088797925786;"Tol Ikn Bandara Tempat ibadah Patung Gapura ??????";0;0;0;0;in;1529674967516090370;1695938088797925786;Hotklamp;https://twitter.com/Hotklamp/status/1695938088797925786
Sun Aug 27 23:07:58 +0000 2023;1695936221552476369;"Kan sdh diserahkan tuh lokasi ikn";0;0;0;0;in;100767754;1695936221552476369;manuskele;https://twitter.com/manuskele/status/1695936221552476369
